Re	U	Chord width	Kinematic Viscosity	Dynamic Viscosity	Density
100	2.5641	0.1	0.002564103	0.00314102617	1.225
110	0.033	0.1	0.002564103	0.00314102617	1.225
120	0.036	0.1	0.002564103	0.00314102617	1.225
130	0.039	0.1	0.002564103	0.00314102617	1.225
140	0.042	0.1	0.002564103	0.00314102617	1.225
150	0.045	0.1	0.002564103	0.00314102617	1.225
160	0.048	0.1	0.002564103	0.00314102617	1.225
170	0.051	0.1	0.002564103	0.00314102617	1.225
180	0.054	0.1	0.002564103	0.00314102617	1.225
190	0.057	0.1	0.002564103	0.00314102617	1.225
200	5.12821	0.1	0.002564103	0.00314102617	1.225
